text,category,source
"watura godak wedi, rescue one.",rescue/missing,original
ape gedara damage wela.,shelter,original
ape amma hoy gnn ba.,rescue/missing,original
ape putha thuwala wela.,medical aid,original
safe accommodation one please.,shelter,original
medicine tikak hoyaganna ba.,medical aid,original
urgently safe place ekk one.,shelter,original
fuel station open da?,other,original
food relief center eka koheda?,food/water,original
watura bottle tikak one.,food/water,original
medicine nathi nisa amarui.,medical aid,original
water tank eka damage wela.,food/water,original
elderly kenekta help one.,medical aid,original
ape family eka homeless wela.,shelter,original
food and clean water help one.,food/water,original
please me thanata help ekak denna.,other,original
main road eka waturat yata wel.,other,original
ape gedara patient kenek innawa.,medical aid,original
gedara watura purila.,shelter,original
ape area eke inn arakshitha thanak ne.,shelter,original
temporary shelter ekak one.,shelter,original
patient kenekta medicine ne.,medical aid,original
kenek hoyaganna ba dan.,rescue/missing,original
baby kenek sick wela innwa .,medical aid,original
road eka block wela.,other,original
please send rescue team.,rescue/missing,original
api roof eke inne.,rescue/missing,original
road eka break wela.,other,original
ambulance ekak ewanna please.,medical aid,original
apit kanna bonna dewal ne.,food/water,original
ape gedara athule danger.,shelter,original
cooking karanna ba.,other,original
road eka open da?,other,original
kenek waturat gahagen gihin.,rescue/missing,original
rescue boat ekak one.,rescue/missing,original
clothes tikak one.,other,original
safe room ekak one.,shelter,original
"rice, dhal saha water one.",food/water,original
clean water one please.,food/water,original
petrol hoyaganna ba.,other,original
patient kenekta immediate help one.,medical aid,original
current eka ne me area eke.,other,original
apit arakshitha thankt yanna one.,shelter,original
torch batteries one.,other,original
ape gedara unsafe wela.,shelter,original
me thanata ambulance ekak ewanna.,medical aid,original
ape family ekata inna place ekak one.,shelter,original
phone charge karaganna place ekak one.,other,original
watura supply eka nawathila.,food/water,original
doctor kenek me paththata one.,medical aid,original
medical team ekak one me area ekata.,medical aid,original
food one please.,food/water,original
gedara thiyenna ba.,shelter,original
apit viyali ahara ewnn .,food/water,original
kama ookm tika iwara wela.,food/water,original
clean water available da?,food/water,original
mge gedara kenek unconscious wela.,medical aid,original
emergency medical help denna.,medical aid,original
ape nangi thama awe na.,rescue/missing,original
ape phone charge karanna ba.,other,original
blood one urgent please.,medical aid,original
road eka clear karanna help one.,other,original
rain eka nisa shelter one.,shelter,original
me area eke rescue team ekak one.,rescue/missing,original
phone network eka kawada enawada?,other,original
gedara athule wayasaka kenek innawa.,rescue/missing,original
drinking water supply karanna.,food/water,original
flood eka nisa trapped wela.,rescue/missing,original
rescue team ekak ewanna please.,rescue/missing,original
transport ekak one.,other,original
baby clothes one.,other,original
drinking water nathiwa inne.,food/water,original
lamayata fever thiyenawa.,medical aid,original
doctor kenek ikmanata one.,medical aid,original
gedara athule aya beragnn udau krnna .,rescue/missing,original
arakshitha kandaurat ynna transport one.,shelter,original
drinking water hoyaganna ba.,food/water,original
medical officer kenek one.,medical aid,original
hospital transport one.,medical aid,original
api dan shelter ekak hoyanawa.,shelter,original
family 6 denekta shelter one.,shelter,original
rescue boat ekak ewanna.,rescue/missing,original
api evacuate karanna one.,rescue/missing,original
patient kenek stuck wela.,medical aid,original
safe place ekakata yanna help karanna.,shelter,original
sick patient kenek rescue karanna one.,medical aid,original
rescue team eka me paththe enawada?,rescue/missing,original
ape thaththa missing.,rescue/missing,original
me area eke situation eka kohomada?,other,original
transport help one.,other,original
ape house eka collapse wenna wage.,shelter,original
mge amma ta amarui .ambulance ekk ewnn please.,medical aid,original
current eka thiyenne ne.,other,original
lamayek hoyaganna help ekk one.,rescue/missing,original
current eka ikmanata denna.,other,original
safe shelter ekak thiyenawada?,shelter,original
missing kenek gena information thiyenawada?,rescue/missing,original
thuwal una aya innawa.,medical aid,original
building eka inspect karanna one.,other,original
shelter ekak denna puluwanda?,shelter,original
beheth ganna pharmacy ekata yanna ba.,medical aid,original
phone battery low.,other,original
house eka clean karanna help one.,other,original
baby milk saha food one.,food/water,original
sanitary items one.,other,original
ikmanata ambulance ekak one.,medical aid,original
drinking water urgently one.,food/water,original
rice saha water one.,food/water,original
api dan safe place ekak hoyanawa.,shelter,original
"patient kenek innawa, medical help one.",medical aid,original
kanna deyak ne me gedara.,food/water,original
medical help urgently one.,medical aid,original
watura saha knna tikak one.,food/water,original
beheth iwara wela.,medical aid,original
kanna food tikak hoyala denna.,food/water,original
medicine saha doctor help one.,medical aid,original
"api 6 denek inne, kama one.",food/water,original
kenek missing wela.,rescue/missing,original
safe place ekak one please api yata wel.,shelter,original
doctor kenek contact karanna one.,medical aid,original
elderly person kenek missing.,rescue/missing,original
ape area ekt viyali ahara ewnn plwnd .,food/water,original
safe building ekak hoyanna one.,shelter,original
bonna watura na.,food/water,original
kenek watura gihin missing.,rescue/missing,original
food relief ekak one.,food/water,original
family ekata temporary place one.,shelter,original
road condition eka dannawada?,other,original
ape ammata asthma medicine one.,medical aid,original
child kenek missing.,rescue/missing,original
shelter ekakata yanna help one.,shelter,original
rescue help denna puluwanda?,rescue/missing,original
family membersla dennek missing.,rescue/missing,original
blankets tikak one.,other,original
water supply eka ne.,food/water,original
water pump eka wada ne.,other,original
ape family members trapped wela.,rescue/missing,original
shelter support one.,shelter,original
safe building ekak one immediately.,shelter,original
ape family eke kenekta medical help one.,medical aid,original
evacuation center ekata yanna one.,shelter,original
kanna deyak hoyaganna ba.,food/water,original
lamai godak innwa apit kama parcel tkk ewnn plwnd .,food/water,original
me area eke safe shelter thiyenawada?,shelter,original
medical support ekk one please.,medical aid,original
general supplies tikak one.,other,original
please rescue karanna.,rescue/missing,original
me paththa dangerous da?,other,original
gedara athule aya innawa.,rescue/missing,original
night eka innata place ne.,shelter,original
ape gedara water ne.,food/water,original
rice tikak hari ewanna.,food/water,original
flashlight ekak one.,other,original
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,original
food supplies tikak one.,food/water,original
communication center ekak thiyenawada?,other,original
injured kenek innawa me gedara.,medical aid,original
apit dawas dekak kanna na.,food/water,original
ape nangi ta medicine one.,medical aid,original
