backbone,tokenizer,seed,test_f1,robustness_f1
MuRIL,baseline,13,0.7449999999999999,0.6482693947144075
MuRIL,baseline,42,0.7681318681318682,0.5965993057510086
MuRIL,baseline,77,0.7937908496732027,0.674120082815735
MuRIL,baseline,101,0.7787543859649123,0.6835042735042736
MuRIL,baseline,256,0.7429841269841269,0.578047815617475
MuRIL,hybrid,13,0.8219415878239408,0.6413017838714433
MuRIL,hybrid,42,0.8084795321637426,0.6786291486291486
MuRIL,hybrid,77,0.7119523809523809,0.5521256038647342
MuRIL,hybrid,101,0.7497777777777778,0.7505555555555554
MuRIL,hybrid,256,0.8149051241156504,0.6202240896358544
