tokenizer,seed,test_f1,robustness_f1
baseline,13,0.8322523881347411,0.6993892931973427
baseline,42,0.7815162907268169,0.6407239819004525
baseline,77,0.8418128654970761,0.6661963165833135
baseline,101,0.7824233283056812,0.7092522974101921
baseline,256,0.853111111111111,0.7162313673822626
hybrid,13,0.8855555555555554,0.728667235009946
hybrid,42,0.816161943319838,0.7118421052631578
hybrid,77,0.8422978981802511,0.5966236670106639
hybrid,101,0.7406862745098038,0.686843137254902
hybrid,256,0.7082633053221288,0.7306510482981071
