text,category,source
Mge Amma ta amarui .ambulance ekk ewnn   please.,medical aid,original
Ape lamayekta beheth one.ikmnin ewnn pluwand ,medical aid,original
Medical team ekak ewanna puluwanda?,medical aid,original
Thuwala wela kenek innawa.,medical aid,original
Doctor kenek ikmanata one.,medical aid,original
Ape seeya asaneepa  wela inne.,medical aid,original
Beheth tikak one urgent.,medical aid,original
"Loku thuwalayak wela, help ekk one.",medical aid,original
"Patient kenek innawa, medical help one.",medical aid,original
Ambulance ekak ewanna please.,medical aid,original
Lamayata fever thiyenawa.,medical aid,original
Ape family eke kenekta medical help one.,medical aid,original
Blood one urgent please.,medical aid,original
Beheth aran enna puluwanda?,medical aid,original
mge Gedara kenek unconscious wela.,medical aid,original
Doctor kenek me paththata one.,medical aid,original
Thuwala wlta treatment one.,medical aid,original
Medical camp eka koheda?,medical aid,original
Ape ammata asthma medicine one.,medical aid,original
Baby kenek sick wela innwa .,medical aid,original
Elderly kenekta help one.,medical aid,original
Patient kenekta medicine ne.,medical aid,original
Ikmanata ambulance ekak one.,medical aid,original
Ape putha thuwala wela.,medical aid,original
Medical support ekk one please.,medical aid,original
Hospital ekakata yanna help one.,medical aid,original
Thuwal una aya innawa.,medical aid,original
Ape nangi ta medicine one.,medical aid,original
Sick kenek innawa gedara.,medical aid,original
Doctor kenek contact karanna one.,medical aid,original
Medicine tikak hoyaganna ba.,medical aid,original
Medical emergency ekak.,medical aid,original
Patient kenek stuck wela.,medical aid,original
Baby ta medicine one.,medical aid,original
Ape thaththa ta pressure medicine one.,medical aid,original
Loku thuwalak nisa hospital yanna ba.,medical aid,original
Medical team ekak one me area ekata.,medical aid,original
Beheth ganna pharmacy ekata yanna ba.,medical aid,original
Patient kenekta immediate help one.,medical aid,original
Fever thiyena lamai innawa.,medical aid,original
Ape family eke sick aya innawa.,medical aid,original
Medical supplies one please.,medical aid,original
Thuwala walata bandage one.,medical aid,original
Doctor kenekta enna puluwanda?,medical aid,original
Medicine nathi nisa amarui.,medical aid,original
Ape gedara patient kenek innawa.,medical aid,original
Ambulance access eka one.,medical aid,original
Medical help urgently one.,medical aid,original
Injured kenek innawa me gedara.,medical aid,original
Child kenekta medical help one.,medical aid,original
Beheth iwara wela.,medical aid,original
Ape ammata urgent treatment one.,medical aid,original
Thuwala una kenek innawa.,medical aid,original
Hospital transport one.,medical aid,original
Medical officer kenek one.,medical aid,original
Sick patient kenek rescue karanna one.,medical aid,original
Medicine saha doctor help one.,medical aid,original
Emergency medical help denna.,medical aid,original
Me thanata ambulance ekak ewanna.,medical aid,original
Please medical team ekak hoyala denna.,medical aid,original
"Ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,original
Safe place ekak one please api yata wel.,shelter,original
Apit innata thanak ne.,shelter,original
Shelter ekak hoyaganna help one.,shelter,original
Family ekata safe place one.,shelter,original
"Lamai ekka innawa, shelter one.",shelter,original
Ape gedara damage wela.,shelter,original
Safe shelter ekak thiyenawada?,shelter,original
Api evacuate karanna one.,shelter,original
Temporary shelter ekak one.,shelter,original
Gedara inna ba dan wathura godal awill.,shelter,original
Ape family ekata inna place ekak one.,shelter,original
Shelter ekakata yanna help one.,shelter,original
Wessa nisa gedara innata ba.,shelter,original
Safe building ekak hoyanna one.,shelter,original
"Elderly aya ekka innawa, shelter one.",shelter,original
"Lamai innawa, safe place one.",shelter,original
Ape gedara unsafe wela.,shelter,original
Shelter location ekak dannawada?,shelter,original
Evacuation center eka koheda?,shelter,original
Api dan shelter ekak hoyanawa.,shelter,original
arakshitha kadauru khed thynne .,shelter,original
Gedara roof eka damage wela.,shelter,original
Shelter ekak denna puluwanda?,shelter,original
Family 6 denekta shelter one.,shelter,original
Api safe place ekakata aran yanna plwand .,shelter,original
Gedara watura purila.,shelter,original
Night eka innata place ne.,shelter,original
sahana kadauru khed thynne .,shelter,original
Safe room ekak one.,shelter,original
Ape gedara athule danger.,shelter,original
Shelter help one urgently.,shelter,original
Api evacuees la.,shelter,original
Shelter ekak open karalada?,shelter,original
Me area eke safe shelter thiyenawada?,shelter,original
"Kids la innawa, shelter one.",shelter,original
"Old people innawa, safe place one.",shelter,original
Gedara thiyenna ba.,shelter,original
Apit arakshitha thankt yanna one.,shelter,original
Safe place ekak hoyala denna.,shelter,original
Rain eka nisa shelter one.,shelter,original
Family ekata temporary place one.,shelter,original
Ape house eka collapse wenna wage.,shelter,original
arakshitha kandaurat  ynna  transport one.,shelter,original
Api dan safe place ekak hoyanawa.,shelter,original
Evacuation center ekata yanna one.,shelter,original
Shelter ekak thiyenawanam kiyanna.,shelter,original
Gedara loku damage ekak wela.,shelter,original
Safe building ekak one immediately.,shelter,original
Apit innata thanak hoyala denna.,shelter,original
"Watura enawa, shelter one.",shelter,original
Ape area eke inn arakshitha thanak ne.,shelter,original
Shelter ekata family eka aran yanna.,shelter,original
Safe accommodation one please.,shelter,original
Ape family eka homeless wela.,shelter,original
Shelter support one.,shelter,original
Kids saha elders ekka shelter one.,shelter,original
Api dan gedarin eliyata awa.,shelter,original
Safe place ekakata yanna help karanna.,shelter,original
Urgently safe place ekk  one.,shelter,original
Food one please.,food/water,original
Bonna watura na.,food/water,original
Ape family ekata food one.,food/water,original
Drinking water urgently one.,food/water,original
Kanna deyak ne me gedara.,food/water,original
Watura bottle tikak one.,food/water,original
Lamai godak innwa apit  kama parcel tkk ewnn plwnd .,food/water,original
Food saha water help one.,food/water,original
Apit dawas dekak kanna na.,food/water,original
Clean water one please.,food/water,original
Ape area ekata food ewanna.,food/water,original
Watura ganna widihak ne.,food/water,original
Kama ookm tika iwara wela.,food/water,original
Drinking water hoyaganna ba.,food/water,original
Family ekata dry food one.,food/water,original
Baby food one urgent.,food/water,original
Water supply eka ne.,food/water,original
Rice saha water one.,food/water,original
Food packets tikak ewnn plwnd .,food/water,original
Api food nathiwa inne.,food/water,original
Clean drinking water one.,food/water,original
Lamai tika hungry.,food/water,original
Food distribution ekak thiyenawada?,food/water,original
Watura bottles ewanna puluwanda?,food/water,original
Ape gedara food na.,food/water,original
Kanna deyak hoyaganna ba.,food/water,original
Water tank eka damage wela.,food/water,original
Food supplies one urgently.,food/water,original
podi daruwo innwa . milk powder one.,food/water,original
Drinking water nathiwa inne.,food/water,original
Food ekak aran enna puluwanda?,food/water,original
"Api 6 denek inne, kama  one.",food/water,original
Watura saha knna  tikak one.,food/water,original
Kanna food tikak hoyala denna.,food/water,original
Clean water available da?,food/water,original
Ape family eka hungry.,food/water,original
"Rice, dhal saha water one.",food/water,original
Food relief ekak one.,food/water,original
Water bottles  one please.,food/water,original
Food stock eka iwara wela.,food/water,original
Drinking water supply karanna.,food/water,original
Kids la hungry inne.,food/water,original
Food and water urgently needed.,food/water,original
Ape area ekata dry rations one.,food/water,original
apit Kanna bonna dewal ne.,food/water,original
Water bottle ekak wath ne.,food/water,original
Food relief center eka koheda?,food/water,original
Family ekata dry food one.,food/water,original
Safe drinking water one.,food/water,original
Food packets distribute karanawada?,food/water,original
apit viyali ahara ewnn .,food/water,original
Watura bonna puluwan ekak one.,food/water,original
Baby milk saha food one.,food/water,original
Rice tikak hari ewanna.,food/water,original
Food supplies tikak one.,food/water,original
Watura supply eka nawathila.,food/water,original
ape area ekt viyali ahara ewnn plwnd .,food/water,original
Food and clean water help one.,food/water,original
Ape gedara water ne.,food/water,original
Ikmanata food saha watura one.,food/water,original
Api gedara athule hira  wela.,rescue/missing,original
Rescue team ekak ewanna please.,rescue/missing,original
Ape family eka stuck wela.,rescue/missing,original
