text,category
mge amma ta amarui .ambulance ekk ewnn please.,medical aid
ape lamayekta beheth one.ikmnin ewnn pluwand,medical aid
medical team ekak ewanna puluwanda?,medical aid
thuwala wela kenek innawa.,medical aid
doctor kenek ikmanata one.,medical aid
ape seeya asaneepa wela inne.,medical aid
beheth tikak one urgent.,medical aid
"loku thuwalayak wela, help ekk one.",medical aid
"patient kenek innawa, medical help one.",medical aid
ambulance ekak ewanna please.,medical aid
lamayata fever thiyenawa.,medical aid
ape family eke kenekta medical help one.,medical aid
blood one urgent please.,medical aid
beheth aran enna puluwanda?,medical aid
mge gedara kenek unconscious wela.,medical aid
doctor kenek me paththata one.,medical aid
thuwala wlta treatment one.,medical aid
medical camp eka koheda?,medical aid
ape ammata asthma medicine one.,medical aid
baby kenek sick wela innwa .,medical aid
elderly kenekta help one.,medical aid
patient kenekta medicine ne.,medical aid
ikmanata ambulance ekak one.,medical aid
ape putha thuwala wela.,medical aid
medical support ekk one please.,medical aid
hospital ekakata yanna help one.,medical aid
thuwal una aya innawa.,medical aid
ape nangi ta medicine one.,medical aid
sick kenek innawa gedara.,medical aid
doctor kenek contact karanna one.,medical aid
medicine tikak hoyaganna ba.,medical aid
medical emergency ekak.,medical aid
patient kenek stuck wela.,medical aid
baby ta medicine one.,medical aid
ape thaththa ta pressure medicine one.,medical aid
loku thuwalak nisa hospital yanna ba.,medical aid
medical team ekak one me area ekata.,medical aid
beheth ganna pharmacy ekata yanna ba.,medical aid
patient kenekta immediate help one.,medical aid
fever thiyena lamai innawa.,medical aid
ape family eke sick aya innawa.,medical aid
medical supplies one please.,medical aid
thuwala walata bandage one.,medical aid
doctor kenekta enna puluwanda?,medical aid
medicine nathi nisa amarui.,medical aid
ape gedara patient kenek innawa.,medical aid
ambulance access eka one.,medical aid
medical help urgently one.,medical aid
injured kenek innawa me gedara.,medical aid
child kenekta medical help one.,medical aid
beheth iwara wela.,medical aid
ape ammata urgent treatment one.,medical aid
thuwala una kenek innawa.,medical aid
hospital transport one.,medical aid
medical officer kenek one.,medical aid
sick patient kenek rescue karanna one.,medical aid
medicine saha doctor help one.,medical aid
emergency medical help denna.,medical aid
me thanata ambulance ekak ewanna.,medical aid
please medical team ekak hoyala denna.,medical aid
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter
safe place ekak one please api yata wel.,shelter
apit innata thanak ne.,shelter
shelter ekak hoyaganna help one.,shelter
family ekata safe place one.,shelter
"lamai ekka innawa, shelter one.",shelter
ape gedara damage wela.,shelter
safe shelter ekak thiyenawada?,shelter
api evacuate karanna one.,shelter
temporary shelter ekak one.,shelter
gedara inna ba dan wathura godal awill.,shelter
ape family ekata inna place ekak one.,shelter
shelter ekakata yanna help one.,shelter
wessa nisa gedara innata ba.,shelter
safe building ekak hoyanna one.,shelter
"elderly aya ekka innawa, shelter one.",shelter
"lamai innawa, safe place one.",shelter
ape gedara unsafe wela.,shelter
shelter location ekak dannawada?,shelter
evacuation center eka koheda?,shelter
api dan shelter ekak hoyanawa.,shelter
arakshitha kadauru khed thynne .,shelter
gedara roof eka damage wela.,shelter
shelter ekak denna puluwanda?,shelter
family 6 denekta shelter one.,shelter
api safe place ekakata aran yanna plwand .,shelter
gedara watura purila.,shelter
night eka innata place ne.,shelter
sahana kadauru khed thynne .,shelter
safe room ekak one.,shelter
ape gedara athule danger.,shelter
shelter help one urgently.,shelter
api evacuees la.,shelter
shelter ekak open karalada?,shelter
me area eke safe shelter thiyenawada?,shelter
"kids la innawa, shelter one.",shelter
"old people innawa, safe place one.",shelter
gedara thiyenna ba.,shelter
apit arakshitha thankt yanna one.,shelter
safe place ekak hoyala denna.,shelter
rain eka nisa shelter one.,shelter
family ekata temporary place one.,shelter
ape house eka collapse wenna wage.,shelter
arakshitha kandaurat ynna transport one.,shelter
api dan safe place ekak hoyanawa.,shelter
evacuation center ekata yanna one.,shelter
shelter ekak thiyenawanam kiyanna.,shelter
gedara loku damage ekak wela.,shelter
safe building ekak one immediately.,shelter
apit innata thanak hoyala denna.,shelter
"watura enawa, shelter one.",shelter
ape area eke inn arakshitha thanak ne.,shelter
shelter ekata family eka aran yanna.,shelter
safe accommodation one please.,shelter
ape family eka homeless wela.,shelter
shelter support one.,shelter
kids saha elders ekka shelter one.,shelter
api dan gedarin eliyata awa.,shelter
safe place ekakata yanna help karanna.,shelter
urgently safe place ekk one.,shelter
food one please.,food/water
bonna watura na.,food/water
ape family ekata food one.,food/water
drinking water urgently one.,food/water
kanna deyak ne me gedara.,food/water
watura bottle tikak one.,food/water
lamai godak innwa apit kama parcel tkk ewnn plwnd .,food/water
food saha water help one.,food/water
apit dawas dekak kanna na.,food/water
clean water one please.,food/water
ape area ekata food ewanna.,food/water
watura ganna widihak ne.,food/water
kama ookm tika iwara wela.,food/water
drinking water hoyaganna ba.,food/water
family ekata dry food one.,food/water
baby food one urgent.,food/water
water supply eka ne.,food/water
rice saha water one.,food/water
food packets tikak ewnn plwnd .,food/water
api food nathiwa inne.,food/water
clean drinking water one.,food/water
lamai tika hungry.,food/water
food distribution ekak thiyenawada?,food/water
watura bottles ewanna puluwanda?,food/water
ape gedara food na.,food/water
kanna deyak hoyaganna ba.,food/water
water tank eka damage wela.,food/water
food supplies one urgently.,food/water
podi daruwo innwa . milk powder one.,food/water
drinking water nathiwa inne.,food/water
food ekak aran enna puluwanda?,food/water
"api 6 denek inne, kama one.",food/water
watura saha knna tikak one.,food/water
kanna food tikak hoyala denna.,food/water
clean water available da?,food/water
ape family eka hungry.,food/water
"rice, dhal saha water one.",food/water
food relief ekak one.,food/water
water bottles one please.,food/water
food stock eka iwara wela.,food/water
drinking water supply karanna.,food/water
kids la hungry inne.,food/water
food and water urgently needed.,food/water
ape area ekata dry rations one.,food/water
apit kanna bonna dewal ne.,food/water
water bottle ekak wath ne.,food/water
