text,category
"watura godak wedi, rescue one.",rescue/missing
ape gedara damage wela.,shelter
ape amma hoy gnn ba.,rescue/missing
ape putha thuwala wela.,medical aid
safe accommodation one please.,shelter
medicine tikak hoyaganna ba.,medical aid
urgently safe place ekk one.,shelter
fuel station open da?,other
food relief center eka koheda?,food/water
watura bottle tikak one.,food/water
medicine nathi nisa amarui.,medical aid
water tank eka damage wela.,food/water
elderly kenekta help one.,medical aid
ape family eka homeless wela.,shelter
food and clean water help one.,food/water
please me thanata help ekak denna.,other
main road eka waturat yata wel.,other
ape gedara patient kenek innawa.,medical aid
gedara watura purila.,shelter
ape area eke inn arakshitha thanak ne.,shelter
temporary shelter ekak one.,shelter
patient kenekta medicine ne.,medical aid
kenek hoyaganna ba dan.,rescue/missing
baby kenek sick wela innwa .,medical aid
road eka block wela.,other
please send rescue team.,rescue/missing
api roof eke inne.,rescue/missing
road eka break wela.,other
ambulance ekak ewanna please.,medical aid
apit kanna bonna dewal ne.,food/water
ape gedara athule danger.,shelter
cooking karanna ba.,other
road eka open da?,other
kenek waturat gahagen gihin.,rescue/missing
rescue boat ekak one.,rescue/missing
clothes tikak one.,other
safe room ekak one.,shelter
"rice, dhal saha water one.",food/water
clean water one please.,food/water
petrol hoyaganna ba.,other
patient kenekta immediate help one.,medical aid
current eka ne me area eke.,other
apit arakshitha thankt yanna one.,shelter
torch batteries one.,other
ape gedara unsafe wela.,shelter
me thanata ambulance ekak ewanna.,medical aid
ape family ekata inna place ekak one.,shelter
phone charge karaganna place ekak one.,other
watura supply eka nawathila.,food/water
doctor kenek me paththata one.,medical aid
medical team ekak one me area ekata.,medical aid
food one please.,food/water
gedara thiyenna ba.,shelter
apit viyali ahara ewnn .,food/water
kama ookm tika iwara wela.,food/water
clean water available da?,food/water
mge gedara kenek unconscious wela.,medical aid
emergency medical help denna.,medical aid
ape nangi thama awe na.,rescue/missing
ape phone charge karanna ba.,other
blood one urgent please.,medical aid
road eka clear karanna help one.,other
rain eka nisa shelter one.,shelter
me area eke rescue team ekak one.,rescue/missing
phone network eka kawada enawada?,other
gedara athule wayasaka kenek innawa.,rescue/missing
drinking water supply karanna.,food/water
flood eka nisa trapped wela.,rescue/missing
rescue team ekak ewanna please.,rescue/missing
transport ekak one.,other
baby clothes one.,other
drinking water nathiwa inne.,food/water
lamayata fever thiyenawa.,medical aid
doctor kenek ikmanata one.,medical aid
gedara athule aya beragnn udau krnna .,rescue/missing
arakshitha kandaurat ynna transport one.,shelter
drinking water hoyaganna ba.,food/water
medical officer kenek one.,medical aid
hospital transport one.,medical aid
api dan shelter ekak hoyanawa.,shelter
family 6 denekta shelter one.,shelter
rescue boat ekak ewanna.,rescue/missing
api evacuate karanna one.,rescue/missing
patient kenek stuck wela.,medical aid
safe place ekakata yanna help karanna.,shelter
sick patient kenek rescue karanna one.,medical aid
rescue team eka me paththe enawada?,rescue/missing
ape thaththa missing.,rescue/missing
me area eke situation eka kohomada?,other
transport help one.,other
ape house eka collapse wenna wage.,shelter
mge amma ta amarui .ambulance ekk ewnn please.,medical aid
current eka thiyenne ne.,other
lamayek hoyaganna help ekk one.,rescue/missing
current eka ikmanata denna.,other
safe shelter ekak thiyenawada?,shelter
missing kenek gena information thiyenawada?,rescue/missing
thuwal una aya innawa.,medical aid
building eka inspect karanna one.,other
shelter ekak denna puluwanda?,shelter
beheth ganna pharmacy ekata yanna ba.,medical aid
phone battery low.,other
house eka clean karanna help one.,other
baby milk saha food one.,food/water
sanitary items one.,other
ikmanata ambulance ekak one.,medical aid
drinking water urgently one.,food/water
rice saha water one.,food/water
api dan safe place ekak hoyanawa.,shelter
"patient kenek innawa, medical help one.",medical aid
kanna deyak ne me gedara.,food/water
medical help urgently one.,medical aid
watura saha knna tikak one.,food/water
beheth iwara wela.,medical aid
kanna food tikak hoyala denna.,food/water
medicine saha doctor help one.,medical aid
"api 6 denek inne, kama one.",food/water
kenek missing wela.,rescue/missing
safe place ekak one please api yata wel.,shelter
doctor kenek contact karanna one.,medical aid
elderly person kenek missing.,rescue/missing
ape area ekt viyali ahara ewnn plwnd .,food/water
safe building ekak hoyanna one.,shelter
bonna watura na.,food/water
kenek watura gihin missing.,rescue/missing
food relief ekak one.,food/water
family ekata temporary place one.,shelter
road condition eka dannawada?,other
ape ammata asthma medicine one.,medical aid
child kenek missing.,rescue/missing
shelter ekakata yanna help one.,shelter
rescue help denna puluwanda?,rescue/missing
family membersla dennek missing.,rescue/missing
blankets tikak one.,other
water supply eka ne.,food/water
water pump eka wada ne.,other
ape family members trapped wela.,rescue/missing
shelter support one.,shelter
safe building ekak one immediately.,shelter
ape family eke kenekta medical help one.,medical aid
evacuation center ekata yanna one.,shelter
kanna deyak hoyaganna ba.,food/water
lamai godak innwa apit kama parcel tkk ewnn plwnd .,food/water
me area eke safe shelter thiyenawada?,shelter
medical support ekk one please.,medical aid
general supplies tikak one.,other
please rescue karanna.,rescue/missing
me paththa dangerous da?,other
gedara athule aya innawa.,rescue/missing
night eka innata place ne.,shelter
ape gedara water ne.,food/water
rice tikak hari ewanna.,food/water
flashlight ekak one.,other
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter
food supplies tikak one.,food/water
