text,category
Mge Amma ta amarui .ambulance ekk ewnn   please.,medical aid
Ape lamayekta beheth one.ikmnin ewnn pluwand ,medical aid
Medical team ekak ewanna puluwanda?,medical aid
Thuwala wela kenek innawa.,medical aid
Doctor kenek ikmanata one.,medical aid
Ape seeya asaneepa  wela inne.,medical aid
Beheth tikak one urgent.,medical aid
"Loku thuwalayak wela, help ekk one.",medical aid
"Patient kenek innawa, medical help one.",medical aid
Ambulance ekak ewanna please.,medical aid
Lamayata fever thiyenawa.,medical aid
Ape family eke kenekta medical help one.,medical aid
Blood one urgent please.,medical aid
Beheth aran enna puluwanda?,medical aid
mge Gedara kenek unconscious wela.,medical aid
Doctor kenek me paththata one.,medical aid
Thuwala wlta treatment one.,medical aid
Medical camp eka koheda?,medical aid
Ape ammata asthma medicine one.,medical aid
Baby kenek sick wela innwa .,medical aid
Elderly kenekta help one.,medical aid
Patient kenekta medicine ne.,medical aid
Ikmanata ambulance ekak one.,medical aid
Ape putha thuwala wela.,medical aid
Medical support ekk one please.,medical aid
Hospital ekakata yanna help one.,medical aid
Thuwal una aya innawa.,medical aid
Ape nangi ta medicine one.,medical aid
Sick kenek innawa gedara.,medical aid
Doctor kenek contact karanna one.,medical aid
Medicine tikak hoyaganna ba.,medical aid
Medical emergency ekak.,medical aid
Patient kenek stuck wela.,medical aid
Baby ta medicine one.,medical aid
Ape thaththa ta pressure medicine one.,medical aid
Loku thuwalak nisa hospital yanna ba.,medical aid
Medical team ekak one me area ekata.,medical aid
Beheth ganna pharmacy ekata yanna ba.,medical aid
Patient kenekta immediate help one.,medical aid
Fever thiyena lamai innawa.,medical aid
Ape family eke sick aya innawa.,medical aid
Medical supplies one please.,medical aid
Thuwala walata bandage one.,medical aid
Doctor kenekta enna puluwanda?,medical aid
Medicine nathi nisa amarui.,medical aid
Ape gedara patient kenek innawa.,medical aid
Ambulance access eka one.,medical aid
Medical help urgently one.,medical aid
Injured kenek innawa me gedara.,medical aid
Child kenekta medical help one.,medical aid
Beheth iwara wela.,medical aid
Ape ammata urgent treatment one.,medical aid
Thuwala una kenek innawa.,medical aid
Hospital transport one.,medical aid
Medical officer kenek one.,medical aid
Sick patient kenek rescue karanna one.,medical aid
Medicine saha doctor help one.,medical aid
Emergency medical help denna.,medical aid
Me thanata ambulance ekak ewanna.,medical aid
Please medical team ekak hoyala denna.,medical aid
"Ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter
Safe place ekak one please api yata wel.,shelter
Apit innata thanak ne.,shelter
Shelter ekak hoyaganna help one.,shelter
Family ekata safe place one.,shelter
"Lamai ekka innawa, shelter one.",shelter
Ape gedara damage wela.,shelter
Safe shelter ekak thiyenawada?,shelter
Api evacuate karanna one.,shelter
Temporary shelter ekak one.,shelter
Gedara inna ba dan wathura godal awill.,shelter
Ape family ekata inna place ekak one.,shelter
Shelter ekakata yanna help one.,shelter
Wessa nisa gedara innata ba.,shelter
Safe building ekak hoyanna one.,shelter
"Elderly aya ekka innawa, shelter one.",shelter
"Lamai innawa, safe place one.",shelter
Ape gedara unsafe wela.,shelter
Shelter location ekak dannawada?,shelter
Evacuation center eka koheda?,shelter
Api dan shelter ekak hoyanawa.,shelter
arakshitha kadauru khed thynne .,shelter
Gedara roof eka damage wela.,shelter
Shelter ekak denna puluwanda?,shelter
Family 6 denekta shelter one.,shelter
Api safe place ekakata aran yanna plwand .,shelter
Gedara watura purila.,shelter
Night eka innata place ne.,shelter
sahana kadauru khed thynne .,shelter
Safe room ekak one.,shelter
Ape gedara athule danger.,shelter
Shelter help one urgently.,shelter
Api evacuees la.,shelter
Shelter ekak open karalada?,shelter
Me area eke safe shelter thiyenawada?,shelter
"Kids la innawa, shelter one.",shelter
"Old people innawa, safe place one.",shelter
Gedara thiyenna ba.,shelter
Apit arakshitha thankt yanna one.,shelter
Safe place ekak hoyala denna.,shelter
Rain eka nisa shelter one.,shelter
Family ekata temporary place one.,shelter
Ape house eka collapse wenna wage.,shelter
arakshitha kandaurat  ynna  transport one.,shelter
Api dan safe place ekak hoyanawa.,shelter
Evacuation center ekata yanna one.,shelter
Shelter ekak thiyenawanam kiyanna.,shelter
Gedara loku damage ekak wela.,shelter
Safe building ekak one immediately.,shelter
Apit innata thanak hoyala denna.,shelter
"Watura enawa, shelter one.",shelter
Ape area eke inn arakshitha thanak ne.,shelter
Shelter ekata family eka aran yanna.,shelter
Safe accommodation one please.,shelter
Ape family eka homeless wela.,shelter
Shelter support one.,shelter
Kids saha elders ekka shelter one.,shelter
Api dan gedarin eliyata awa.,shelter
Safe place ekakata yanna help karanna.,shelter
Urgently safe place ekk  one.,shelter
Food one please.,food/water
Bonna watura na.,food/water
Ape family ekata food one.,food/water
Drinking water urgently one.,food/water
Kanna deyak ne me gedara.,food/water
Watura bottle tikak one.,food/water
Lamai godak innwa apit  kama parcel tkk ewnn plwnd .,food/water
Food saha water help one.,food/water
Apit dawas dekak kanna na.,food/water
Clean water one please.,food/water
Ape area ekata food ewanna.,food/water
Watura ganna widihak ne.,food/water
Kama ookm tika iwara wela.,food/water
Drinking water hoyaganna ba.,food/water
Family ekata dry food one.,food/water
Baby food one urgent.,food/water
Water supply eka ne.,food/water
Rice saha water one.,food/water
Food packets tikak ewnn plwnd .,food/water
Api food nathiwa inne.,food/water
Clean drinking water one.,food/water
Lamai tika hungry.,food/water
Food distribution ekak thiyenawada?,food/water
Watura bottles ewanna puluwanda?,food/water
Ape gedara food na.,food/water
Kanna deyak hoyaganna ba.,food/water
Water tank eka damage wela.,food/water
Food supplies one urgently.,food/water
podi daruwo innwa . milk powder one.,food/water
Drinking water nathiwa inne.,food/water
Food ekak aran enna puluwanda?,food/water
"Api 6 denek inne, kama  one.",food/water
Watura saha knna  tikak one.,food/water
Kanna food tikak hoyala denna.,food/water
Clean water available da?,food/water
Ape family eka hungry.,food/water
