text,category,source,text_si
lamayata feveer thiynawa.,medical aid,synthetic,ලමයාට ෆේවීර් තියෙනවා.
rescue boat ekak ewann.,rescue/missing,synthetic,rescue බෝට් එකක් ෙවන්න.
flood eka nisa trapped wela.,rescue/missing,original,ෆ්ලෝඩ් එක නිසා trapped වෙලා.
beheth ganna pharmacy ekata yanna ba.,medical aid,original,බෙහෙත් ගන්න pharmacy එකට යන්න බැ.
lamai godak innva apt kama parcel tkk ewnn plwnd .,food/water,synthetic,ළමයි ගොඩක් ඉන්නවා අපිට කෑම පරිසෙල් ටිකක් එවන්න පුළුවන්ද.
ape seeeya missing.,rescue/missing,synthetic,අපේ සීයා මිසිටින්ග්.
api dan shelter ekak hoyanawa.,shelter,original,අපි දැන් ෂෙල්ටර් එකක් හොයනවා.
trch batteries onee.,other,synthetic,ට්රිච් batteries ඕනේ.
kenek waturat gahaagen gihin.,rescue/missing,synthetic,කෙනෙක් වතුරට ගුහාගෙන ගිහින්.
urgently safe place ekk on.,shelter,synthetic,urgently safe place එක්ක ඕන.
medhicine saha doctor help one.,medical aid,synthetic,medhicine සහ doctor help one.
ape gedara damage wela.,shelter,original,අපේ ගෙදර damage වෙලා.
shelter ekak hoyaganna help one.,shelter,original,ෂෙල්ටර් එකක් හොයාගන්න හවුල් ඕනේ.
patient kenek stuck wela.,medical aid,original,patient කෙනෙක් ස්ටූක්ක්ක් වෙලා.
shelther ekak denna puluwandaa?,shelter,synthetic,ෂෙල්ටර් එකක් දෙන්න පුලුවන්ද?
safe room ekaak one.,shelter,synthetic,safe room එකක් ඕනේ.
apit dawas dekak kanna na.,food/water,original,අපිට දවස් දෙකක් කන්න නැ.
drinking water urgently on.,food/water,synthetic,drinking water urgently on.
watura supply ekaa nawathila.,food/water,synthetic,වතුර පොරොන්දු අකා නැවතිලා.
information ekak hoyaganna one.,other,synthetic,information එකක් හොයාගන්න ඕනේ.
watura saha knna tikak one.,food/water,original,වතුර සහ කන්න ටිකක් ඕනේ.
api upakara baalaporoththu venawa.,rescue/missing,synthetic,අපි උපකාර බලපුතු වෙනව.
lamayek hoyaaganna help ekk one.,rescue/missing,synthetic,ලමයෙක් හොයාගන්න හවුල් එක්ක ඕනේ.
shlter ekak thiyenawanam kyanna.,shelter,synthetic,ශල්ටර් එකක් තියෙනවනම් කියන්න.
canna deyak ne mee gedara.,food/water,synthetic,කන්න දෙයක් නෑ මේ ගෙදර.
battery charge karaganna b.,other,synthetic,battery charge කරගන්න බැ.
fuel station open daa?,other,synthetic,fuel station open ද?
evacuation centr ekata yanna on.,shelter,synthetic,evacuation centr එකට යන්න ඕන.
kamaa oocm tika iwara wela.,food/water,synthetic,කෑම ඕකොම ටික ඉවර වෙලා.
"watura godk wedi, rescuee one.",rescue/missing,synthetic,"වතුර ගොඩක් වැඩි, rescuee ඕනේ."
bonna wtura naa.,food/water,synthetic,බොන්න වතුර නෑ.
fuel station open da?,other,original,fuel station open ද?
ape thaththa missing.,rescue/missing,original,අපේ තාත්තා missing.
shelter ekakata yanna help one.,shelter,original,ෂෙල්ටර් එකකට යන්න හවුල් ඕනේ.
food relief ekak on.,food/water,synthetic,food relief එකක් ඕන.
"lamai innawa, safe place one.",shelter,original,"ලමයි ඉන්නවා, safe place one."
eldrly person knek missing.,rescue/missing,synthetic,eldrly person කෙනෙක් missing.
ape nangi t medicine one.,medical aid,synthetic,අපේ නංගි ට medicine ඕනේ.
api roof eke inne.,rescue/missing,original,අපි රෝෆ් එකේ ඉන්නේ.
baby clothes one.,other,synthetic,baby clothes one.
medical emrgency ecak.,medical aid,synthetic,medical emrgency ecak.
ape gedara unsafe wela.,shelter,original,අපේ ගෙදර අපොෆේ වෙලා.
lamayek hoyaganna help eekk one.,rescue/missing,synthetic,ලමයෙක් හොයාගන්න හවුල් එකක් ඕනේ.
mge amma ta amarui .ambulance ekk ewnn please.,medical aid,synthetic,මගේ අම්ම ට අමාරුයි.ambulance එක්ක එවන්න please.
ape gedara patient kenek innawa.,medical aid,original,අපේ ගෙදර patient කෙනෙක් ඉන්නවා.
buuilding eka inspect caranna one.,other,synthetic,buuilding එක inspect කරන්න ඕනේ.
ape gedara food na.,food/water,synthetic,අපේ ගෙදර ෆෝඩ් නැ.
api daan safe placee ekak hoyanawa.,shelter,synthetic,අපි දැන් සාෆේ තැනේ එකක් හොයනවා.
medicine tikak hoyganna ba.,medical aid,synthetic,medicine ටිකක් හොයාගන්න බැ.
shelter suppoort on.,shelter,synthetic,ෂෙල්ටර් සුපුපුර්ට ඕන.
elderly kenekta help one.,medical aid,original,elderly කෙනෙක්ට help ඕනේ.
ape house eca collapse wennaa wage.,shelter,synthetic,අපේ ගෙදර ඒකා කොල්ලපස්සේ වෙන්න වගේ.
water tank eka damage wela.,food/water,original,water tank එක damage වෙලා.
"api stuck weela, heelp karanna.",rescue/missing,synthetic,"අපි ස්ටූක්ක්ක් වේලා, ජාලප් කරන්න."
medhicine nathi nisa amarui.,medical aid,synthetic,මැඩීකිනේ නැති නිසා අමාරුයි.
medical support eck one please.,medical aid,synthetic,medical support eck one please.
road clearance help one.,other,original,road clearance help one.
me area ekata yannaa puluwanda?,other,synthetic,මේ area එකට යන්න පුලුවන්ද?
ape phone charge karanna ba.,other,original,අපේ Phone charge කරන්න බැ.
safe shlter ekak thiyenawada?,shelter,synthetic,සාෆේ ෂිල්ටර් එකක් තියෙනවද?
gedaraa athule 5 denek innawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ 5 දෙනෙක් ඉන්නවා.
road eka block welaa.,other,synthetic,රෝඩ් එක බ්ලූක් වෙලා.
transport ekak one.,other,original,transport එකක් ඕනේ.
torch baatteries one.,other,synthetic,torch baatteries one.
medicine saha doctor help one.,medical aid,original,medicine සහ doctor help one.
sfe drinking water one.,food/water,synthetic,sfe drinking water one.
api building roof ek inne.,rescue/missing,synthetic,අපි building roof එක ඉන්නේ.
ape gedara athule dhanger.,shelter,synthetic,අපේ ගෙදර ඇතුලේ ඩැන්ජර්.
coking karanna ba.,other,synthetic,කෝකින්ග් කරන්න බැ.
hospital transport one.,medical aid,original,hospital transport one.
mg gedara kenek unconscious wel.,medical aid,synthetic,මගෙ ගෙදර කෙනෙක් unconscious වෙලා.
torch batteries one.,other,original,torch batteries one.
petrol hoyagaanna ba.,other,synthetic,පීරන් හොයාගන්න බැ.
beheth ganna pharmacy ekata yanna ba.,medical aid,synthetic,බෙහෙත් ගන්න pharmacy එකට යන්න බැ.
night eka innata placee ne.,shelter,synthetic,නයිට් එක ඉන්නට තැනේ නෑ.
kanna food tikak hoyala dnna.,food/water,synthetic,කන්න ෆෝඩ් ටිකක් හොයලා දෙන්න.
food ekk aran enna puluwandha?,food/water,synthetic,ෆෝඩ් එක්ක අරන් එන්න පුලුවන්ද?
miissing person kenek hoyanwa.,rescue/missing,synthetic,මිස්සින්ගෙ පින්තූර කෙනෙක් හොයනවා.
"old people innawa, safe place one.",shelter,synthetic,"old people ඉන්නවා, safe place one."
roadh condition eka dannwada?,other,synthetic,රෝද condition එක දන්නවද?
gedaraa athule aya beragnn udauu krnna .,rescue/missing,synthetic,ගෙදර ඇතුලේ අය බේරගන්න උදූ කරන්න.
gedara aathule 5 denek innawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ 5 දෙනෙක් ඉන්නවා.
tree ekak roadh eka uda watila.,other,synthetic,ට්රේඩ් එකක් රෝඩ් එක උඩ වැටිලා.
ap food nathiwa innee.,food/water,synthetic,අපි ෆෝඩ් නැතිව ඉන්නේ.
"aapi 6 denek inne, kama one.",food/water,synthetic,"ආපි 6 දෙනෙක් ඉන්නේ, කම ඕනේ."
water bottle ekaak wath ne.,food/water,synthetic,water bottle එකක් වත් නෑ.
apit knna bonna dewal ne.,food/water,synthetic,අපිට කන්න බොන්න දේවල් නෑ.
safe shelteer ekak thiyenawada?,shelter,synthetic,සෆේ ෂැල්ටෙර් එකක් තියෙනවද?
ape nangi ta medicine on.,medical aid,synthetic,අපේ නංගි ට medicine ඕනෙ.
mobile signal hoyaganna ba.,other,synthetic,mobile signal හොයාගන්න බැ.
baby kenek sick wela innwa .,medical aid,synthetic,baby කෙනෙක් sick වෙලා ඉන්නවා.
arakshitha kandaurat ynnaa transport on.,shelter,synthetic,ආරක්ෂිත කඳුරට යන්න transport on.
waatura ganna widihak ne.,food/water,synthetic,වතුර ගන්න විදිහක් නෑ.
gedara watura purila.,shelter,original,ගෙදර වතුර පිරිලා.
ape nangi ta medicine one.,medical aid,synthetic,අපේ නංගි ට medicine ඕනේ.
rescue vehicle ekak one.,rescue/missing,original,rescue vehicle එකක් ඕනේ.
mobile signl hoyaganna ba.,other,synthetic,mobile සිග්නල් හොයාගන්න බැ.
flaashlight ekak one.,other,synthetic,ෆ්ලෑෂ්ලයිට් එකක් ඕනේ.
missing child kenek hoyanawa.,rescue/missing,original,missing child කෙනෙක් හොයනවා.
food supplies onee urgently.,food/water,synthetic,food supplies ඕනේ urgently.
rescue help dnna puluwanda?,rescue/missing,synthetic,rescue help දෙන්න පුලුවන්ද?
ambulance ekak ewanna plese.,medical aid,synthetic,ඔම්බුලන්ස් එකක් එවන්න පොලිසේ.
api evacuathe karanna one.,rescue/missing,synthetic,අපි ඒවකුතේ කරන්න ඕනේ.
please medical tam ekak hoyala denna.,medical aid,synthetic,please medical තාම එකක් හොයලා දෙන්න.
mobile signal hoyaganna ba.,other,original,mobile signal හොයාගන්න බැ.
beheth iwara wela.,medical aid,original,බෙහෙත් ඉවර වෙලා.
missng person keneek hoyanawa.,rescue/missing,synthetic,මිස්සන්ගෙ පෞද්ගලික කෙනෙකු හොයනවා.
ape seeya missing.,rescue/missing,original,අපේ සීයා මිසිටින්ග්.
cenek hoyaganna ba dan.,rescue/missing,synthetic,චෙනෙක් හොයාගන්න බැ දැන්.
kanna foood tiikak hoyala denna.,food/water,synthetic,කන්න ෆූඩොඩ් ටිකක් හොයලා දෙන්න.
communicatiion centher ekak thiyenawada?,other,synthetic,communicatiion centher එකක් තියෙනවද?
drinking water urgently one.,food/water,original,drinking water urgently one.
shelter ekak thiyenawanam kiyanna.,shelter,original,ෂෙල්ටර් එකක් තියෙනවනම් කියන්න.
aape gedara atule danger.,shelter,synthetic,ආපු ගෙදර ඇතුලේ ඩිංගර්.
please me tanata help ekak denna.,other,synthetic,please මේ තැනට හවුල් එකක් දෙන්න.
road eca block wela.,other,synthetic,road eca block වෙලා.
shelter eekakata yanna help one.,shelter,synthetic,ෂෙල්ටර් ඒකට යන්න හවුල් ඕනේ.
medical team ekak ewnna puluwanda?,medical aid,synthetic,medical team එකක් එවන්න පුලුවන්ද?
ape family ekata inna place ekak one.,shelter,original,අපේ පවුල එකට ඉන්න place එකක් ඕනේ.
ape gedara food na.,food/water,original,අපේ ගෙදර ෆෝඩ් නැ.
ape area eke inn arakshitha thanak ne.,shelter,original,අපේ area එකේ ඉන්න ආරක්ෂිත තැනක් නෑ.
foood ekak aran enn puluwanda?,food/water,synthetic,ෆෝඩ් එකක් අරන් එන්න පුලුවන්ද?
lamayaata fver thiyenawa.,medical aid,synthetic,ලමයාට ෆුවර් තියෙනවා.
apee nangi hoyaganna ba.,rescue/missing,synthetic,අපේ නංගි හොයාගන්න බැ.
ape family ekata inna place ekk one.,shelter,synthetic,අපේ පවුල එකට ඉන්න place එක්ක ඕනේ.
house eka clean karanna help one.,other,original,house එක clean කරන්න help one.
water pump eka wada ne.,other,synthetic,water pump එක වඩා නෑ.
ape family members trapped wela.,rescue/missing,original,අපේ family members trapped වෙලා.
road eeka open d?,other,synthetic,රෝඩ් ඒක open ද?
kanna food tikaak hoyala denna.,food/water,synthetic,කන්න ෆෝඩ් ටිකක් හොයලා දෙන්න.
night eka innata place ne.,shelter,original,නයිට් එක ඉන්නට place නෑ.
medhical officer kenek one.,medical aid,synthetic,medhical officer කෙනෙක් ඕනේ.
bloood one urgent pleasee.,medical aid,synthetic,බ්ලූඩ් ඕනේ urgent pleasee.
rescuue boat ekak onee.,rescue/missing,synthetic,rescuue bot එකක් ඕනේ.
clothes thikak on.,other,synthetic,clothes ටිකක් ඕන.
aape gedara athuule danger.,shelter,synthetic,ආපු ගෙදර ඇතුලේ ඩිංගර්.
medical officer kenek one.,medical aid,original,medical officer කෙනෙක් ඕනේ.
apit viyali ahara ewnn .,food/water,original,අපිට වියලි ආහාර එවන්න.
missing kenek gen informathion thiyenawada?,rescue/missing,synthetic,missing කෙනෙක් ගැන informathion තියෙනවද?
"watura godak wedi, resce onee.",rescue/missing,synthetic,"වතුර ගොඩක් වැඩි, resce ඕනේ."
ape amma hoy gnn ba.,rescue/missing,original,අපේ අම්ම හොය ගන්න බැ.
road eka cler karanna help one.,other,synthetic,රෝඩ් එක cler කරන්න help one.
information ekak hoyaganna onee.,other,synthetic,information එකක් හොයාගන්න ඕනේ.
meedical help urgntly one.,medical aid,synthetic,මේඩිකල් හවුල් උර්ගන්තලයි ඕනේ.
phone charge karaganna plake ekak on.,other,synthetic,Phone charge කරගන්න පොළකේ එකක් ඕන.
doctor kenek contact karanna one.,medical aid,original,ඩොක්ටර් කෙනෙක් contact කරන්න ඕනේ.
food relief centr eka koheda?,food/water,synthetic,food relief centr එක කොහෙද?
cooking karann baa.,other,synthetic,cooking කරන්න බෑ.
shelter ekakaata yanna help one.,shelter,synthetic,ෂෙල්ටර් එකකට යන්න හවුල් ඕනේ.
shelter ekata famiily eka aran yanna.,shelter,synthetic,ෂෙල්ටර් එකට ෆැමියුලයි එක අරන් යන්න.
kids laa hungry inne.,food/water,synthetic,kids ලා හංගිරය ඉන්නේ.
road eka cleear karanna help one.,other,synthetic,රෝඩ් එක ක්ලෙයර් කරන්න help ඕනේ.
apee nangii ta medicine one.,medical aid,synthetic,අපේ නංගි ට medicine ඕනේ.
road eka open da?,other,original,රෝඩ් එක open ද?
patient kenekta immediat help one.,medical aid,synthetic,patient කෙනෙක්ට immediat help one.
please resce karanna.,rescue/missing,synthetic,please resce කරන්න.
phone charge caraganna plac ekak one.,other,synthetic,phone charge කරගන්න plas එකක් ඕනේ.
ape phone charge caranna ba.,other,synthetic,අපේ Phone charge කරන්න බැ.
beheth ivara weela.,medical aid,synthetic,බෙහෙත් ඉවර වෙලා.
ptient kenekta medicine n.,medical aid,synthetic,පැත්තෙන් කෙනෙක්ට medicine නැ.
lamayk hoyagann help ekk one.,rescue/missing,synthetic,ලමයෙක් හොයාගන්න හයිල් එකක් ඕනේ.
rice saha water one.,food/water,synthetic,රිසි සහ වතුර ඕනේ.
"patient kenek innawa, medicl help one.",medical aid,synthetic,"patient කෙනෙක් ඉන්නවා, medicl help one."
baby kenek sick wela innwaa .,medical aid,synthetic,baby කෙනෙක් sick වෙලා ඉන්නවා.
candhles tikak one.,other,synthetic,candhles ටිකක් ඕනේ.
transport ekk one.,other,synthetic,transport එක්ක ඕනේ.
watura sha knna thikak one.,food/water,synthetic,වතුර සහ කන්න ටිකක් ඕනේ.
ape family ekata inna plaace ekak one.,shelter,synthetic,අපේ පවුල එකට ඉන්න plaace එකක් ඕනේ.
api upakara balaporoththu wenawa.,rescue/missing,original,අපි උපකාර බලාපොරොත්තු වෙනවා.
evacuation center ekata yanna on.,shelter,synthetic,evacuation center එකට යන්න ඕන.
drinking water nathiwa iinne.,food/water,synthetic,drinking water නැතිව ඉන්නෙ.
medical support eck one please.,medical aid,synthetic,medical support eck one please.
rescue help denna puluwanda?,rescue/missing,original,rescue help දෙන්න පුලුවන්ද?
family membersla dennek missing.,rescue/missing,original,family membersla දෙන්නෙක් missing.
injured keneek innawa me gedhara.,medical aid,synthetic,ඉන්ජුරේඩ් කෙනෙකු ඉන්නවා මේ ගෙදර.
food relief eekak on.,food/water,synthetic,food relief ඒකක ඕන.
ape area ekt viyali ahra ewnn plwnd .,food/water,synthetic,අපේ area එකට වියලි ආහාර එවන්න පුලුවන්ද.
"lamai innaawa, safe plaace one.",shelter,synthetic,"ළමයි ඉන්නවා, safe plaace one."
apii food natiwa inne.,food/water,synthetic,අපේ ෆෝඩ් නැතිව ඉන්නේ.
geedara thyenna ba.,shelter,synthetic,ගේදර තියෙන්න බෑ.
mge amma ta amarui .ambulance ekk ewnn pleease.,medical aid,synthetic,මගේ අම්ම ට අමාරුයි.ambulance එක්ක එවන්න පොලීසේ.
ape family ece kenekta medical help one.,medical aid,synthetic,අපේ family ece කෙනෙක්ට medical help one.
safe shelter ekak tiyenawada?,shelter,synthetic,සාෆේ ෂෙල්ටර් එකක් තියෙනවද?
drinkiing water supply karanna.,food/water,synthetic,drinkiing water supply කරන්න.
kamaa ookm tika iwara wel.,food/water,synthetic,කමා ඕකම ටික ඉවර වෙලා.
evacuatin center ekatha yanna one.,shelter,synthetic,evacuatin center එකට යන්න ඕනේ.
ape brother missing welaa.,rescue/missing,synthetic,අපේ brother missing වෙලා.
rooad eka clear karanna help one.,other,synthetic,රෝඩ් එක clear කරන්න help one.
ap family ekata inna place ekak one.,shelter,synthetic,අපි පවුල එකට ඉන්න place එකක් ඕනේ.
rescue bat ekak ewanna.,rescue/missing,synthetic,rescue බැට් එකක් එවන්න.
rescue veehicle ekak one.,rescue/missing,synthetic,rescue veehicle එකක් ඕනේ.
lamayek hoyaganna help ekk one.,rescue/missing,synthetic,ලමයෙක් හොයාගන්න හයිල් එකක් ඕනේ.
ape area ekata dry raations on.,food/water,synthetic,අපේ area එකට dry raations on.
ape taththa missiing.,rescue/missing,synthetic,අපේ තාත්තා මිස්සීං.
me area eke situation eka kohomada?,other,original,මේ area එකේ situation එක කොහොමද?
kama ookm tika iwara wela.,food/water,original,කෑම ඕකම ටික ඉවර වෙලා.
ricee tiikak hari ewanna.,food/water,synthetic,රිසී ටිකක් හරි එවන්න.
roaad eka breac wela.,other,synthetic,රෝඩ් එක breac වෙලා.
kenek watura gihin missng.,rescue/missing,synthetic,කෙනෙක් වතුර ගිහින් මිස්සන්ගෙ.
"patient kenek innawa, medical help one.",medical aid,synthetic,"patient කෙනෙක් ඉන්නවා, medical help one."
safe place ekak one please api yaata wel.,shelter,synthetic,safe place එකක් ඕනේ please අපි යාත වෙලා.
"lamai innava, safe place oone.",shelter,synthetic,"ලමයි ඉන්නවා, safe place ඕනේ."
bonna watura na.,food/water,original,බොන්න වතුර නෑ.
sanitry items one.,other,synthetic,sanitry items one.
cenek watura gihin missing.,rescue/missing,synthetic,චෙනෙක් වතුර ගිහින් මිසිටින්ග්.
hosptal transport on.,medical aid,synthetic,hosptal transport on.
api uupakara balaporoththu wenawa.,rescue/missing,synthetic,අපි උපාකාර බලාපොරොත්තු වෙනවා.
cenek missing wela.,rescue/missing,synthetic,චෙනෙක් මිස්සින්ගෙ වෙලා.
safe plaace ekak hoyala denn.,shelter,synthetic,safe plaace එකක් හොයලා දෙන්න.
lamayata fever thiyenawa.,medical aid,original,ලමයාට ෆේවර් තියෙනවා.
safe place ekakatha yanna help karanna.,shelter,synthetic,safe place එකකතා යන්න help කරන්න.
lamai godak innwa apit kama parcel tkk ewnn plwnd .,food/water,original,ළමයි ගොඩක් ඉන්නවා අපිට කෑම පරිසෙල් ටිකක් එවන්න පුළුවන්ද.
kenek watura gihn missing.,rescue/missing,synthetic,කෙනෙක් වතුර ගිහින් මස්සින්ගෙ.
